feed,ep_num,movie
BCSF,1,Welcome to Blank Check: Special Features!
BCSF,2,Iron Man
BCSF,3,The Third Blank Check Mailbag
BCSF,3,Hulk Live @ Alamo Drafthouse Downtown Brooklyn
BCSF,4,The Incredible Hulk
BCSF,5,Kiss from a Rose
BCSF,6,Iron Man 2
BCSF,7,What Men Want
BCSF,8,Thor
BCSF,9,Captain America: The First Avenger
BCSF,10,March Madness 2019 Recap - Round 1
BCSF,11,Corpse Bride
BCSF,12,March Madness 2019 Recap - Round 2
BCSF,13,The Avengers
BCSF,14,The U.K. Bit
BCSF,15,March Madness 2019 Recap - Round 3
BCSF,16,Iron Man 3
BCSF,17,Frankenweenie
BCSF,18,Thor: The Dark World
BCSF,19,Captain America: The Winter Soldier
BCSF,20,Assassin's Creed Outtakes
BCSF,21,Live at The Barclays Center
BCSF,22,Guardians of the Galaxy
BCSF,23,Avengers: Age of Ultron
BCSF,24,The Jericho Mailbag
BCSF,25,Ant-Man
BCSF,26,Captain America: Civil War
BCSF,27,The Keep RPG
BCSF,28,Doctor Strange
BCSF,29,Guardians of the Galaxy Vol. 2
BCSF,30,Blank Check: Great Adventure
BCSF,31,Spider-Man: Homecoming
BCSF,32,Thor: Ragnarok
BCSF,33,BC takes AC
BCSF,34,Black Panther
BCSF,35,Avengers: Infinity War
BCSF,36,Whisper of the Heart
BCSF,37,Ant-Man and the Wasp
BCSF,38,Captain Marvel
BCSF,39,Walking The Talk 2019: A Funeral For Frames
BCSF,40,Avengers: Endgame
BCSF,41,Spider-Man: Far From Home
BCSF,42,Swimming to Cambodia
BCSF,43,The Fourth Blank Check Mailbag
BCSF,44,Solo
BCSF,45,Marvel Performance Review Special
BCSF,46,Rogue One
BCSF,47,F9 Trailer - An Emergency Minisode
BCSF,48,Star Wars
BCSF,49,Best of the Decade Blankie Awards
BCSF,50,The Empire Strikes Back
BCSF,51,Return of the Jedi
BCSF,52,March Madness 2020 Recap - Round 1
BCSF,53,THX 1138
BCSF,53,American Graffiti
BCSF,54,March Madness 2020 Recap - Round 2
BCSF,55,The Force Awakens
BCSF,56,March Madness 2020 Recap - Round 3
BCSF,57,The Last Jedi
BCSF,58,March Madness 2020 Recap - Round 4
BCSF,59,Trolls: The Experience
BCSF,60,The Rise of Skywalker
BCSF,61,Babe
BCSF,62,Toy Story
BCSF,63,Toy Story 2
BCSF,64,Toy Story 3
BCSF,65,Toy Story Toons
BCSF,66,Toy Story 4
BCSF,67,Mission: Impossible
BCSF,68,Hanging Up
BCSF,69,Mission: Impossible 2
BCSF,70,Mission: Impossible 3
BCSF,71,Disappearing Acts
BCSF,72,Mission: Impossible - Ghost Protocol
BCSF,73,Mission: Impossible - Rogue Nation
BCSF,74,The Way of the Gun
BCSF,75,Mission: Impossible - Fallout
BCSF,76,Alien
BCSF,77,Talking Fanfare
BCSF,78,Aliens
BCSF,79,Alien 3
BCSF,80,Tales from the Crypt
BCSF,81,Alien: Resurrection
BCSF,82,Prometheus
BCSF,83,Drive-In Special
BCSF,84,Alien: Covenant
BCSF,85,Crocodile Dundee
BCSF,86,The Fifth Blank Check Mailbag
BCSF,87,Crocodile Dundee II
BCSF,88,Crocodile Dundee in Los Angeles
BCSF,89,Fanfare: The Return
BCSF,90,Star Trek: The Motion Picture
BCSF,91,Star Trek II: The Wrath of Khan
